"","hosts","hostclean","group"
"521","Tylosurus caribbaeus","Tylosurus caribbaeus",NA
"522","Mulloidichthys martinicus","Mulloidichthys martinicus",NA
"523","Albula vulpes","Albula vulpes",NA
"524","Bathygobius soporator","Bathygobius soporator",NA
"525","Gerres cinereus","Gerres cinereus",NA
"526","Labrisomus nuchipinnis","Labrisomus nuchipinnis",NA
"527","Platophrys ocellatus","Platophrys ocellatus",NA
"528","Coregonus widegreni","Coregonus widegreni",NA
"529","Salmo salar","Salmo salar",NA
"530","Coregonus albula","Coregonus albula",NA
"531","Lampetra fluviatilis","Lampetra fluviatilis",NA
"532","Liparis liparis","Liparis liparis",NA
"533","Pachycara crassiceps","Pachycara crassiceps",NA
"534","Merlangius merlangus","Merlangius merlangus",NA
"535","Aeginina longicornis","Aeginina longicornis",NA
"536","Alosa aestivalis","Alosa aestivalis",NA
"537","Alosa pseudoharengus","Alosa pseudoharengus",NA
"538","Alosa sapidissima","Alosa sapidissima",NA
"539","Ammodytes hexapterus","Ammodytes hexapterus",NA
"540","Anarhichas lupus","Anarhichas lupus",NA
"541","Calliopius laeviusculus","Calliopius laeviusculus",NA
"542","Ciliata mustela","Ciliata mustela",NA
"543","Coregonus clupeaformis","Coregonus clupeaformis",NA
"544","Crassostrea virginica","Crassostrea virginica",NA
"545","Crenilabrus melops","Crenilabrus melops",NA
"546","Cymatogaster aggregata","Cymatogaster aggregata",NA
"547","Gadus capellanus","Gadus capellanus",NA
"548","Gadus macrocephalus","Gadus macrocephalus",NA
"549","Gadus ogac","Gadus ogac",NA
"550","Gammarellus angulosus","Gammarellus angulosus",NA
"551","Gammarus locusta","Gammarus locusta",NA
"552","Gammarus oceanicus","Gammarus oceanicus",NA
"553","Gammarus salinus","Gammarus salinus",NA
"554","Gammarus zaddachi","Gammarus zaddachi",NA
"555","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus",NA
"556","Gobiusculus flavescens","Gobiusculus flavescens",NA
"557","Hemilepidotus hemilepidotus","Hemilepidotus hemilepidotus",NA
"558","Icelinus filamentosus","Icelinus filamentosus",NA
"559","Leptocottus armatus","Leptocottus armatus",NA
"560","Limanda ferruginea","Limanda ferruginea",NA
"561","Limanda limanda","Limanda limanda",NA
"562","Liopsetta putnami","Liopsetta putnami",NA
"563","Liparis atlanticus","Liparis atlanticus",NA
"564","Lycodes cortezianus","Lycodes cortezianus",NA
"565","Macrourus berglax","Macrourus berglax",NA
"566","Merluccius productus","Merluccius productus",NA
"567","Microgadus proximus","Microgadus proximus",NA
"568","Myoxocephalus polyacanthocephalus","Myoxocephalus polyacanthocephalus",NA
"569","Nemichthys scolopaceus","Nemichthys scolopaceus",NA
"570","Nerophis ophidion","Nerophis ophidion",NA
"571","Nezumia bairdi","Nezumia bairdi",NA
"572","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha",NA
"573","Oncorhynchus keta","Oncorhynchus keta",NA
"574","Oncorhynchus kisutch","Oncorhynchus kisutch",NA
"575","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha",NA
"576","Pholis gunnellus","Pholis gunnellus",NA
"577","Phycis chesteri","Phycis chesteri",NA
"578","Platichthys stellatus","Platichthys stellatus",NA
