"","nameparse","yearone","hosts"
"3126","Cysticercus ovis",1912,5
"3127","Cysticercus pisiformis",1880,12
"3128","Cysticercus setiferous",1934,NA
"3129","Cysticercus sp.",1907,NA
"3130","Cysticercus talpae",1927,8
"3131","Cysticercus tarandi",1923,2
"3132","Cysticercus tenuicollis",1888,33
"3133","Cystidicola canadensis",1928,NA
"3134","Cystidicola farionis",1964,63
"3135","Cystidicola harwoodi",1929,NA
"3136","Cystidicola lepisostei",1933,NA
"3137","Cystidicola serrata",1920,NA
"3138","Cystidicola sigmatura",1920,NA
"3139","Cystidicola sp.",1915,NA
"3140","Cystidicola stigmatura",1893,9
"3141","Cystidicoloides ephemeridarum",2004,50
"3142","Cystidicoloides harwoodi",1949,NA
"3143","Cystidicoloides sp.",1932,NA
"3144","Cystidicoloides tenuissima",1983,27
"3145","Cystocaulus ocreatus",2003,30
"3146","Cystodiplostomum hollyi",1987,1
"3147","Cystoopsis acipenseri",1949,15
"3148","Cytolaimum obtusicaudatum",1934,NA
"3149","Czosnowia noctilionis",1965,1
"3150","Dacnitis carangis",1917,NA
"3151","Dacnitis sp.",1935,NA
"3152","Dacnitis sphaerocephala",1883,3
"3153","Dacnitis sphaerocephalus",1917,7
"3154","Dacnitis truttae",1932,25
"3155","Dacnitoides cotylophora",1917,NA
"3156","Dacnitoides robusta",1931,NA
"3157","Dactylocotyle denticulatum",1932,NA
"3158","Dactylocotyle sp.",1916,NA
"3159","Dactylogyrus acicularis",1966,1
"3160","Dactylogyrus acus",1937,8
"3161","Dactylogyrus agolumaccessorius",1987,NA
"3162","Dactylogyrus albori",1989,2
"3163","Dactylogyrus amblops",1937,1
"3164","Dactylogyrus amphibothrium",1962,15
"3165","Dactylogyrus anchoratus",1989,54
"3166","Dactylogyrus ancylostylus",1971,1
"3167","Dactylogyrus apos",1937,1
"3168","Dactylogyrus arcus",1966,1
"3169","Dactylogyrus argenteus",1966,1
"3170","Dactylogyrus asper",1971,1
"3171","Dactylogyrus atratuli",1970,1
"3172","Dactylogyrus atripinnei",1975,1
"3173","Dactylogyrus atromaculatus",1937,2
"3174","Dactylogyrus aviunguis",1971,1
"3175","Dactylogyrus baueri",1966,5
"3176","Dactylogyrus beckeri",1985,1
"3177","Dactylogyrus bifurcatus",1937,5
"3178","Dactylogyrus boopsi",1973,2
"3179","Dactylogyrus buddi",1969,4
"3180","Dactylogyrus bulbus",1937,4
"3181","Dactylogyrus bullosus",1939,2
"3182","Dactylogyrus bychowskyi",1936,NA
"3183","Dactylogyrus carolinensis",1970,1
"3184","Dactylogyrus caudoluminis",1966,1
"3185","Dactylogyrus centrarchidi",1966,1
"3186","Dactylogyrus cernyi",1973,1
"3187","Dactylogyrus cheloideus",1966,1
"3188","Dactylogyrus chranilowi",1968,3
"3189","Dactylogyrus chrosomi",1973,3
"3190","Dactylogyrus circumflexus",1985,1
"3191","Dactylogyrus coartatus",2004,NA
"3192","Dactylogyrus confusus",1937,2
"3193","Dactylogyrus cordus",1963,11
"3194","Dactylogyrus cornoides",1964,8
"3195","Dactylogyrus corporalis",1958,2
"3196","Dactylogyrus crucis",1939,1
"3197","Dactylogyrus cursitans",1966,1
"3198","Dactylogyrus delicatus",1985,1
"3199","Dactylogyrus difformoides",1963,2
"3200","Dactylogyrus dissimili",1985,1
"3201","Dactylogyrus distinguendus",1967,12
"3202","Dactylogyrus dolus",1985,1
"3203","Dactylogyrus dubius",1973,3
"3204","Dactylogyrus duquesni",1937,2
"3205","Dactylogyrus eos",1973,3
"3206","Dactylogyrus ergensi",1962,8
"3207","Dactylogyrus ericymbae",1966,1
"3208","Dactylogyrus eucalius",1983,2
"3209","Dactylogyrus extensus",1931,19
"3210","Dactylogyrus flagristylus",1971,1
"3211","Dactylogyrus formosus",1966,7
"3212","Dactylogyrus fraternus",1966,10
"3213","Dactylogyrus fungulus",1966,1
"3214","Dactylogyrus georgiensis",1966,1
"3215","Dactylogyrus greenei",1973,2
"3216","Dactylogyrus hankinsoni",1973,1
"3217","Dactylogyrus haplogonoides",1963,5
"3218","Dactylogyrus haplogonus",1964,10
"3219","Dactylogyrus hemitremiae",1966,1
"3220","Dactylogyrus heterolepsis",1973,NA
"3221","Dactylogyrus hydrophloxi",1965,NA
"3222","Dactylogyrus inexpectatus",2011,7
"3223","Dactylogyrus julieae",1966,1
"3224","Dactylogyrus katherineae",1966,1
"3225","Dactylogyrus labradorius",1969,NA
"3226","Dactylogyrus larrymilleri",1985,NA
"3227","Dactylogyrus latirictus",1971,1
"3228","Dactylogyrus lepidus",1966,1
"3229","Dactylogyrus leptostylus",1971,1
"3230","Dactylogyrus limulus",1966,2
"3231","Dactylogyrus luxili",1966,5
"3232","Dactylogyrus macranthus",1932,NA
"3233","Dactylogyrus macrocolpius",2004,NA
"3234","Dactylogyrus magnibulbus",1965,NA
"3235","Dactylogyrus magnus",1966,1
"3236","Dactylogyrus malleolus",1971,1
"3237","Dactylogyrus malleus",1963,7
"3238","Dactylogyrus manicatus",1966,1
"3239","Dactylogyrus megastylus",1971,1
"3240","Dactylogyrus melanopteri",2004,NA
"3241","Dactylogyrus microphallus",1937,2
"3242","Dactylogyrus micropogoni",1973,1
"3243","Dactylogyrus millieae",1971,1
"3244","Dactylogyrus minutus",1981,11
"3245","Dactylogyrus mississippiensis",1971,1
"3246","Dactylogyrus mollis",1971,3
"3247","Dactylogyrus moorei",1939,2
"3248","Dactylogyrus moorthyi",1937,3
"3249","Dactylogyrus nanus",1968,19
"3250","Dactylogyrus nasalis",1967,6
"3251","Dactylogyrus newensis",1978,1
"3252","Dactylogyrus nuntius",1982,2
"3253","Dactylogyrus onychoacessorius",1978,NA
"3254","Dactylogyrus opsopoeodi",1966,1
"3255","Dactylogyrus ornatus",1966,1
"3256","Dactylogyrus paribulbus",1965,NA
"3257","Dactylogyrus parvaccessorius",1966,1
"3258","Dactylogyrus pectenatus",1974,2
"3259","Dactylogyrus perlus",1937,1
"3260","Dactylogyrus photogensis",1937,NA
"3261","Dactylogyrus plegadus",1966,1
"3262","Dactylogyrus pronatus",1966,1
"3263","Dactylogyrus rarissimus",1967,7
"3264","Dactylogyrus reciprocus",1966,2
"3265","Dactylogyrus rhinichthius",1977,1
"3266","Dactylogyrus robisoni",1977,NA
"3267","Dactylogyrus robustus",1965,9
"3268","Dactylogyrus rubellus",1937,1
"3269","Dactylogyrus scepticus",1977,NA
"3270","Dactylogyrus scutatus",1937,1
"3271","Dactylogyrus seamsteri",1939,1
"3272","Dactylogyrus simplex",1937,6
"3273","Dactylogyrus sp.",1927,NA
"3274","Dactylogyrus spatulus",1985,3
"3275","Dactylogyrus sphyrna",1968,50
"3276","Dactylogyrus texomensis",1959,1
"3277","Dactylogyrus tuba",1968,46
"3278","Dactylogyrus urus",1937,4
"3279","Dactylogyrus vancleavei",1979,3
"3280","Dactylogyrus venusti",1966,1
"3281","Dactylogyrus versicolor",1992,NA
"3282","Dactylogyrus welakae",1966,1
"3283","Dactylogyrus zandti",1966,9
"3284","Dactylotrema squamatum",1949,1
"3285","Dadayatrema elongata",1932,NA
"3286","Dadayatrema minema",1932,NA
"3287","Dadayatrema oxycephala",1932,NA
"3288","Dadayatrema sphaerorchidum",1959,NA
"3289","Daisiella daisia",1995,NA
"3290","Daitreosoma parva",1953,NA
"3291","Darwinoplectanum amphiatlanticus",2001,NA
"3292","Darwinoplectanum figueiredoi",2001,NA
"3293","Darwinoplectanum pilittae",1992,NA
"3294","Dasybatotrema dasybatis",1915,NA
"3295","Dasymetra conferta",1925,1
"3296","Dasymetra longicirrus",1930,NA
"3297","Dasymetra nicolli",1991,2
"3298","Dasymetra villicaeca",1933,4
"3299","Dasynemella phalangida",1934,NA
"3300","Dasynemoides setosum",1934,NA
"3301","Dasyonchocotyle dayatis",1964,NA
"3302","Dasyonchocotyle spiniphallus",1954,NA
"3303","Dasyrhynchus pacificus",1986,14
"3304","Dasyrhynchus sp.",1982,NA
"3305","Dasyrhynchus variouncinatus",1963,1
"3306","Daubaylia potomica",1958,NA
"3307","Davainea cesticillus",1867,NA
"3308","Davainea chapini",1912,NA
"3309","Davainea columbina",1899,NA
"3310","Davainea comitata",1897,NA
"3311","Davainea crassula",1946,NA
"3312","Davainea discoidea",1911,NA
"3313","Davainea echinobothrida",1894,NA
"3314","Davainea himantopodis",1983,3
"3315","Davainea lagopodis",1963,NA
"3316","Davainea langi",1913,NA
"3317","Davainea longi",1914,NA
"3318","Davainea meleagridis",1930,1
"3319","Davainea minuta",1985,3
"3320","Davainea osborni",1913,NA
"3321","Davainea proglottina",1907,10
"3322","Davainea retractilis",1891,1
"3323","Davainea rhynchota",1896,NA
"3324","Davainea salmoni",1894,NA
"3325","Davainea sp.",1894,NA
"3326","Davainea struthionis",1914,NA
"3327","Davainea tetragona",1893,NA
"3328","Davainea tetraoensis",1931,1
"3329","Dawestrema cycloancistrium",2009,1
"3330","Deanicola minor",1987,3
"3331","Deanicola protentus",1987,3
"3332","Decacotyle cairae",2003,NA
"3333","Decacotyle elpora",2003,NA
"3334","Decacotyle floridana",1995,2
"3335","Decacotyle octona",1989,1
"3336","Decacotyle tetrakordyle",1995,1
"3337","Decemtestis pseudolabri",1951,1
"3338","Decrusia additicia",1916,NA
"3339","Decrusia sp.",2001,NA
"3340","Degeneria halosauri",1975,1
"3341","Deletrocephalus dimidiatus",1960,NA
"3342","Deletrocephalus variabilis",1923,NA
"3343","Delicata sp.",1962,NA
"3344","Deltokeras multilobatus",1939,NA
"3345","Demidospermus anus",1983,2
"3346","Demidospermus armostus",1994,3
"3347","Demidospermus bidiverticulatum",1994,4
"3348","Demidospermus centromochli",2004,NA
"3349","Demidospermus cornicinus",1994,1
"3350","Demidospermus curvovaginatus",2004,NA
"3351","Demidospermus ichthyocercus",2009,NA
"3352","Demidospermus idolus",1994,1
"3353","Demidospermus leptosynophallus",1994,1
"3354","Demidospermus macropteri",2005,NA
"3355","Demidospermus majusculus",1994,1
"3356","Demidospermus paravalenciennesi",1994,2
"3357","Demidospermus peruvianus",2004,NA
"3358","Demidospermus pinirampi",1980,NA
"3359","Demidospermus striatus",2004,NA
"3360","Demidospermus uncusvalidus",1994,4
"3361","Demidospermus valenciennesi",1994,3
"3362","Dendritobilharzia pulverulenta",1971,26
"3363","Dendritobilharzia sp.",1940,NA
"3364","Dendrocoelum lacteum",1911,NA
"3365","Dendromonocotyle akajeii",1979,1
"3366","Dendromonocotyle ardea",1992,1
"3367","Dendromonocotyle bradsmithi",2004,NA
"3368","Dendromonocotyle californica",1980,1
"3369","Dendromonocotyle cortesi",1965,NA
"3370","Dendromonocotyle lasti",2002,NA
"3371","Dendromonocotyle octodiscus",1954,5
"3372","Dendromonocotyle pipinna",2002,NA
"3373","Dendromonocotyle torosa",2002,NA
"3374","Dendrouterina ardeae",1995,4
"3375","Dendrouterina botauri",1948,2
"3376","Dendrouterina papillifera",1995,6
"3377","Dendrouterina pilherodiae",1975,2
"3378","Dendrouterina sp.",1970,NA
"3379","Dentostomella grundmanni",1955,NA
"3380","Dentostomella senulshaii",1950,NA
"3381","Dentostomella sp.",1951,NA
"3382","Dentostomella translucida",1951,3
"3383","Deontacylix kyphosi",1963,1
"3384","Deontacylix ovalis",1907,4
"3385","Deontacylix sp.",1914,NA
"3386","Deradena ovalis",1908,NA
"3387","Deretrema carangis",1966,1
"3388","Deretrema cholaeum",1932,8
"3389","Deretrema dermacentablum",1967,NA
"3390","Deretrema fusillus",1906,4
"3391","Deretrema hawaiiense",1963,1
"3392","Deretrema minutum",1951,1
"3393","Deretrema pooli",1937,NA
"3394","Deretrema sp.",1978,NA
"3395","Deretrema sphyraenae",1963,NA
"3396","Deretrema uku",1966,NA
"3397","Dermadena lactophrysi",1951,4
"3398","Dermatemytrema trifoliata",1923,1
"3399","Dermatodidymocystis vivipara",1964,2
"3400","Dermatodidymocystis viviparoides",1964,2
"3401","Dermatoxys sp.",1922,NA
"3402","Dermatoxys veligera",1905,4
"3403","Dermophthirius carcharhini",1923,NA
"3404","Dermophthirius maccallumi",1968,1
"3405","Dermophthirius nigrellii",1983,NA
"3406","Dermophthirius penneri",1965,2
"3407","Dermopristis paradoxus",2003,NA
"3408","Derogenes aspina",1978,NA
"3409","Derogenes crassus",1934,7
"3410","Derogenes nototheniae",1951,1
"3411","Derogenes sp.",1930,NA
"3412","Derogenes tropicus",1932,1
"3413","Derogenes varicus",1894,219
"3414","Deropegus aspina",1934,1
"3415","Deropristis hispida",1916,7
"3416","Deropristis inflata",1900,9
"3417","Deropristis sp.",1893,NA
"3418","Derytrema riggini",1962,NA
"3419","Desmicola sp.",1956,NA
"3420","Desmidocerca nudicauda",1963,NA
"3421","Desmidocerca numidica",1907,NA
"3422","Desmidocerca sp.",1953,NA
"3423","Desmidocercella numidica",1892,33
"3424","Desmidocercella skrjabini",1996,2
"3425","Desmidocercella sp.",1926,NA
"3426","Desmidospermus brevicirrus",2009,NA
"3427","Desmidospermus mortenthaleri",2006,NA
"3428","Desmodorella cephalata",1934,NA
"3429","Desmognathinema nantahalaensis",1981,5
"3430","Desmognathinema nanthalaensis",2012,NA
"3431","Desmognathinema papuensis",2003,1
"3432","Desmognathinema sp.",2005,NA
"3433","Desmogonius desmogonius",1959,3
"3434","Desmolaimus zelandicus",1934,NA
"3435","Desmoscolex americanus",1934,NA
"3436","Desmoscolex paraminutus",1934,NA
"3437","Desmote antarcticus",1982,NA
"3438","Desportesius invaginatus",1987,14
"3439","Desportesius spinulatus",1959,1
"3440","Desportesius trianuchae",1938,2
"3441","Deuterobaris proteus",1901,1
"3442","Dexiogonimus ciureanus",1928,2
"3443","Diaccessorius anoculus",1966,NA
"3444","Diandrya composita",1929,NA
"3445","Diandrya compostica",1962,1
"3446","Diaphanocephalus galeatus",1901,NA
"3447","Diaphanocephalus sp.",1927,NA
"3448","Diaphorocleidus armillatus",1997,NA
"3449","Diaphorocleidus gnathoides",2006,NA
"3450","Diaphorocleidus kabatai",1972,NA
"3451","Diaphorocleidus orthodusus",2006,NA
"3452","Diaphorocleidus petrosusi",2006,NA
"3453","Diaschistorchis multitesticularis",2001,NA
"3454","Diaschistorchis pandus",1970,5
"3455","Diaschistorchis takahashii",1958,2
"3456","Diasia podilymbae",1935,NA
"3457","Dibothriocephalus latus",1901,NA
"3458","Dibothriocephalus molae",1918,NA
"3459","Dibothriocephalus sp.",1907,NA
"3460","Dibothriorhynchus balistidae",1916,NA
"3461","Dibothriorhynchus maccallumi",1916,NA
"3462","Dibothriorhynchus xiphiae",1916,NA
"3463","Dibothrium angustatum",1912,NA
"3464","Dibothrium angustatus",1923,NA
"3465","Dibothrium cordiceps",1890,1
"3466","Dibothrium crassiceps",1912,1
"3467","Dibothrium dasyatidis",1927,NA
"3468","Dibothrium decipiens",1906,NA
"3469","Dibothrium exile",1890,1
"3470","Dibothrium hastatum",1885,NA
"3471","Dibothrium infundibuliforme",1887,NA
"3472","Dibothrium laciniatum",1889,NA
"3473","Dibothrium latum",1916,NA
"3474","Dibothrium ligula",1882,NA
"3475","Dibothrium manubriformis",1889,NA
"3476","Dibothrium marsupium",1906,NA
"3477","Dibothrium microcephalum",1918,NA
"3478","Dibothrium occidentale",1891,NA
"3479","Dibothrium pineatum",1912,NA
"3480","Dibothrium plicatum",1883,NA
"3481","Dibothrium punctatum",1880,NA
"3482","Dibothrium rugosum",1887,NA
"3483","Dibothrium sp.",1887,NA
"3484","Dicelis nira",1934,NA
"3485","Diceronema versterae",1993,1
"3486","Dichadena acuta",1908,3
"3487","Dichadena galeata",1975,NA
"3488","Dichadena sp.",1976,NA
"3489","Dicheilonema rhea",2001,23
"3490","Dicheilonema rheae",1914,23
"3491","Dicheilonema sp.",1931,NA
"3492","Dicheilonema spicularia",1922,NA
"3493","Dichelyne (Cucullanellus)",1973,NA
"3494","Dichelyne (Dichelyne)",1996,NA
"3495","Dichelyne (Neocucullanellus)",1985,NA
"3496","Dichelyne bullocki",2001,NA
"3497","Dichelyne cotylophora",1952,2
"3498","Dichelyne cylindrica",1974,NA
"3499","Dichelyne diplocaecum",1934,NA
"3500","Dichelyne fastigatus",1933,NA
"3501","Dichelyne lepisosteus",1964,1
"3502","Dichelyne robusta",1972,1
"3503","Dichelyne sp.",1912,4
"3504","Dichoanotaenia bacilligera",1984,6
"3505","Dichoanotaenia multifilamentum",1976,NA
"3506","Diclidophora coelorhynchi",1951,2
"3507","Diclidophora denticulata",1898,1
"3508","Diclidophora denticulatum",1939,NA
"3509","Diclidophora embiotocae",1969,2
"3510","Diclidophora maccallumi",1924,NA
"3511","Diclidophora merlangi",1907,2
"3512","Diclidophora phycidis",2004,1
"3513","Diclidophora pinguis",1906,NA
"3514","Diclidophora pugetensis",1958,3
"3515","Diclidophoroides maccallumi",1915,6
"3516","Diclybothrium armatum",1911,21
"3517","Diclybothrium atriatum",1990,2
"3518","Diclybothrium hamulatum",1925,2
"3519","Dicranotaenia amphitricha",1984,2
"3520","Dicranotaenia coronula",1896,70
"3521","Dicranotaenia himantopodis",1977,NA
"3522","Dicranotaenia introversa",1923,1
"3523","Dicranotaenia macrostrobilodes",1923,1
"3524","Dicranotaenia microcirrosa",1923,NA
"3525","Dicrocoelium colobusicola",1927,NA
"3526","Dicrocoelium dendriticum",1893,125
"3527","Dicrocoelium hospes",1950,7
"3528","Dicrocoelium infidum",1909,NA
"3529","Dicrocoelium lanceatum",1889,80
"3530","Dicrocoelium lasiuri",1933,1
"3531","Dicrocoelium plesiostomum",1895,NA
"3532","Dicrocoelium rileyi",1892,6
"3533","Dicrocoelium sp.",1930,NA
"3534","Dicrogaster fastigatus",1957,2
"3535","Dictyangium chelydrae",1931,3
"3536","Dictymetra numenii",1984,2
"3537","Dictymetra nymphaea",1981,7
"3538","Dictymetra paranumenii",1984,1
"3539","Dictymetra radiaspinosa",1985,2
"3540","Dictyocaulus arnfieldi",1917,4
"3541","Dictyocaulus eckerti",1976,13
"3542","Dictyocaulus filaria",1909,19
"3543","Dictyocaulus hadweni",1920,2
"3544","Dictyocaulus khawi",1960,NA
"3545","Dictyocaulus magna",1935,NA
"3546","Dictyocaulus oviparus",1915,NA
"3547","Dictyocaulus sp.",1911,NA
"3548","Dictyocaulus viviparous",1975,NA
"3549","Dictyocaulus viviparus",1904,39
"3550","Dictyonograptus pipistrelli",1934,NA
"3551","Dictysarca veseus",1915,NA
"3552","Dictysarca virens",1817,1
"3553","Dicyocaulus eckerti",2003,NA
"3554","Didelphis undula",1939,NA
"3555","Didelphodiplostomum variabile",1992,1
"3556","Didelphonema longispiculata",1939,1
"3557","Didelphostrongylus hayesi",1967,1
"3558","Didymocodium euthynni",1965,3
"3559","Didymocystis acanthocybii",1955,2
"3560","Didymocystis bifurcata",1964,6
"3561","Didymocystis irregularis",1964,2
"3562","Didymocystis nasalis",1964,3
"3563","Didymocystis orbitalis",1964,3
"3564","Didymocystis palati",1964,6
"3565","Didymocystis philobranchia",1964,12
"3566","Didymocystis philobranchiarca",1964,3
"3567","Didymocystis poeyi",1951,NA
"3568","Didymocystis poonui",1964,3
"3569","Didymocystis scomberomori",1968,4
"3570","Didymocystis sp.",1955,NA
"3571","Didymocystis spirocauda",1965,2
"3572","Didymocystis superpalati",1964,4
"3573","Didymocystis xiphiados",1940,1
"3574","Didymocystoides bifasciatus",1964,4
"3575","Didymocystoides buccalis",1963,2
"3576","Didymocystoides exiquus",1965,NA
"3577","Didymocystoides intestinomuscularis",1965,2
"3578","Didymocystoides oesophagicola",1964,1
"3579","Didymocystoides pectoralis",1965,1
"3580","Didymocystoides pinnicola",1964,1
"3581","Didymorhynchus southwelli",2002,2
"3582","Didymozoid a",1962,NA
"3583","Didymozoid b",1962,NA
"3584","Didymozoid c",1905,NA
"3585","Didymozoid d",1966,NA
"3586","Didymozoid e",1955,NA
"3587","Didymozoid f",1965,NA
"3588","Didymozoid g",1966,NA
"3589","Didymozoon diverticulatum",1965,2
"3590","Didymozoon opsoni",1913,NA
"3591","Didymozoon sardae",1908,NA
"3592","Didymozoon scombri",1918,2
"3593","Didymozoon sp.",1906,NA
"3594","Diechodactylus joaberi",2005,NA
"3595","Dieffluvium unipapillatum",1972,NA
"3596","Dietziella egregia",1974,1
"3597","Dihemistephanus lydiae",1901,1
"3598","Dilepis hilli",1938,NA
"3599","Dilepis limosa",1934,2
"3600","Dilepis sp.",1944,NA
"3601","Dilepis undula",1897,56
"3602","Dinobothrium planum",1920,NA
"3603","Dinobothrium septaria",1903,2
"3604","Dinosoma hawaiienses",1963,NA
"3605","Dinosoma oregonensis",1964,2
"3606","Dinosoma pectoralis",1964,2
"3607","Dinosoma polymixiae",1963,NA
"3608","Dinurus barbatus",1951,9
"3609","Dinurus breviductus",1951,9
"3610","Dinurus gizae",1952,1
"3611","Dinurus longisinus",1995,10
"3612","Dinurus magnus",1928,NA
"3613","Dinurus nanaimoensis",1932,NA
"3614","Dinurus pinguis",1903,NA
"3615","Dinurus rubens",1915,NA
"3616","Dinurus rubeus",1906,NA
"3617","Dinurus scomberi",1994,NA
"3618","Dinurus scombri",1970,18
"3619","Dinurus sp.",1965,NA
"3620","Dinurus tornatus",1908,10
"3621","Diochetos phrynosomatis",1931,5
"3622","Dioctophyma renale",1901,NA
"3623","Dioctophyma sp.",1914,NA
"3624","Dioctophyma visceralis",1896,NA
"3625","Dioecocestus asper",1979,7
"3626","Dioecocestus fuhrmanni",1904,NA
"3627","Dioecocestus sp.",1934,NA
"3628","Dioecotaenia campbelli",1978,NA
"3629","Dioecotaenia cancellata",1914,1
"3630","Dionchus agassizi",1911,4
"3631","Dionchus rachycentris",1954,NA
"3632","Dionchus remorae",1915,2
"3633","Dionchus sp.",1915,NA
"3634","Dioncopseudobenedenia kala",1963,2
"3635","Dioncopseudobenedenia macracantha",1963,1
"3636","Diorchiraillietina contorta",1960,NA
"3637","Diorchis acuminata",1902,3
"3638","Diorchis americana",1902,2
"3639","Diorchis bulbodes",1976,9
