"","hosts","hostclean","group"
"384","Cynoscion arenarius","Cynoscion arenarius","Teleostei"
"385","Cynoscion nebulosus","Cynoscion nebulosus","Teleostei"
"386","Cynoscion regalis","Cynoscion regalis","Teleostei"
"387","Diapterus auratus","Diapterus auratus","Teleostei"
"388","Diapterus opisthostomus","Diapterus opisthostomus",NA
"389","Eucinostomus argenteus","Eucinostomus argenteus","Teleostei"
"390","Eugerres plumieri","Eugerres plumieri","Teleostei"
"391","Grandidierella bonnieroides","Grandidierella bonnieroides","Malacostraca"
"392","Haemulon melanorum","Haemulon melanorum",NA
"393","Haemulon steindachneri","Haemulon steindachneri","Teleostei"
"394","Larimus fasciatus","Larimus fasciatus","Teleostei"
"395","Leiostomus xanthurus","Leiostomus xanthurus","Teleostei"
"396","Lobotes surinamensis","Lobotes surinamensis","Teleostei"
"397","Micropogonias furnieri","Micropogonias furnieri","Teleostei"
"398","Micropogonias undulatus","Micropogonias undulatus","Teleostei"
"399","Morone americana","Morone americana","Teleostei"
"400","Morone saxatilis","Morone saxatilis","Teleostei"
"401","Orthopristis chrysoptera","Orthopristis chrysoptera","Teleostei"
"402","Orthopristis ruber","Orthopristis ruber","Teleostei"
"403","Palinurichthys perciformis","Hyperoglyphe perciformis","Teleostei"
"404","Paralichthys dentatus","Paralichthys dentatus","Teleostei"
"405","Polydactylus octonemus","Polydactylus octonemus","Teleostei"
"406","Scomber scombrus","Scomber scombrus","Teleostei"
"407","Tylosurus acus","Tylosurus acus","Teleostei"
"408","Tylosurus caribbaeus","Tylosurus crocodilus","Teleostei"
"409","Pachycara obesa","Pachycara obesa",NA
"410","Schizopygopsis koslowi","Schizopygopsis koslowi",NA
"411","Pollachius pollachius","Pollachius pollachius","Teleostei"
"412","Pollachius virens","Pollachius virens","Teleostei"
"413","Gaidropsaurus vulgaris","Gaidropsaurus vulgaris",NA
"414","Sebastes marinus","Serranus scriba","Teleostei"
"415","Coluber atrovirens","Coluber atrovirens",NA
"416","Vipera redii","Vipera redii",NA
"417","Berryteuthis magister","Berryteuthis magister","Cephalopoda"
"418","Cottus pollux","Cottus pollux","Teleostei"
"419","Jesogammarus naritai","Jesogammarus naritai",NA
"420","Paramoera japonica","Paramoera japonica",NA
"421","Cyclopterus lumpus","Cyclopterus lumpus","Teleostei"
"422","Aeginina longicornis","Aeginina longicornis","Malacostraca"
"423","Agonus acipenserinus","Podothecus accipenserinus","Teleostei"
"424","Alosa aestivalis","Alosa aestivalis","Teleostei"
"425","Alosa sapidissima","Alosa sapidissima","Teleostei"
"426","Ammodytes hexapterus","Ammodytes hexapterus","Teleostei"
"427","Anarhichas denticulatus","Anarhichas denticulatus","Teleostei"
"428","Anarhichas lupus","Anarhichas lupus","Teleostei"
"429","Aprodon cortezianus","Lycodes cortezianus","Teleostei"
"430","Aptocyclus ventricosus","Aptocyclus ventricosus","Teleostei"
"431","Brosme brosme","Brosme brosme","Teleostei"
"432","Calliopius laeviusculus","Calliopius laeviusculus","Malacostraca"
"433","Careproctus trachysoma","Careproctus trachysoma","Teleostei"
"434","Chlorophthalmus albatrossis","Chlorophthalmus albatrossis","Teleostei"
"435","Ciliata mustela","Ciliata mustela","Teleostei"
"436","Coryphaenoides rupestris","Coryphaenoides rupestris","Teleostei"
"437","Crassostrea virginica","Crassostrea virginica","Bivalvia"
"438","Crenilabrus melops","Symphodus melops","Teleostei"
"439","Cymatogaster aggregata","Cymatogaster aggregata","Teleostei"
"440","Gadus capellanus","Gadus capellanus",NA
"441","Gadus ogac","Gadus ogac","Teleostei"
"442","Gammarellus angulosus","Gammarellus angulosus","Malacostraca"
"443","Gammarus locusta","Gammarus locusta","Malacostraca"
"444","Gammarus oceanicus","Gammarus oceanicus","Malacostraca"
"445","Gammarus salinus","Gammarus salinus","Malacostraca"
"446","Gammarus zaddachi","Gammarus zaddachi","Malacostraca"
"447","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus","Teleostei"
"448","Gobiusculus flavescens","Gobiusculus flavescens","Teleostei"
"449","Hemilepidotus hemilepidotus","Hemilepidotus hemilepidotus","Teleostei"
"450","Hemitripterus americanus","Hemitripterus americanus","Teleostei"
"451","Hippoglossus hippoglossus","Hippoglossus hippoglossus","Teleostei"
"452","Icelinus filamentosus","Icelinus filamentosus","Teleostei"
"453","Leptagonus decagonus","Leptagonus decagonus","Teleostei"
"454","Leptocottus armatus","Leptocottus armatus","Teleostei"
"455","Limanda ferruginea","Limanda ferruginea","Teleostei"
"456","Limanda limanda","Limanda limanda","Teleostei"
"457","Liopsetta putnami","Liopsetta putnami","Teleostei"
"458","Liparis atlanticus","Liparis atlanticus","Teleostei"
"459","Lophius litulon","Lophius litulon","Teleostei"
"460","Lycodes cortezianus","Lycodes cortezianus","Teleostei"
"461","Macrourus berglax","Macrourus berglax","Teleostei"
"462","Macrozoarces americanus","Zoarces americanus","Teleostei"
"463","Mallotus villosus","Mallotus villosus","Teleostei"
